Order_ID,Customer_ID,Fecha_de_compra,Categoría_producto,Producto,Precio_unitario,Cantidad,Total_venta,Método_de_pago,Ubicación_cliente,Dispositivo_de_compra,Fuente_de_tráfico,Tiempo_de_navegación,Descuento_aplicado,Satisfacción_cliente
1,8845,2024-01-10 06:05:00,Ropa,Gorra,454.19,1,454.19,PayPal,"Ciudad 9, País 9",Móvil,Orgánico,19,No,1
2,1198,2024-02-29 22:19:00,Electrónica,Teclado,433.62,4,1734.48,Tarjeta de crédito,"Ciudad 32, País 3",Tablet,Orgánico,3,Sí,2
3,4003,2024-01-23 09:41:00,Belleza,Maquillaje,26.22,3,78.66,PayPal,"Ciudad 40, País 3",Móvil,Referido,12,Sí,5
4,3943,2024-02-08 14:15:00,Belleza,Afeitadora,410.58,4,1642.32,PayPal,"Ciudad 31, País 7",Tablet,Pago,2,Sí,3
5,5159,2024-02-26 20:45:00,Belleza,Perfume,388.48,2,776.96,Tarjeta de crédito,"Ciudad 5, País 5",PC,Orgánico,1,Sí,2
6,5863,2024-02-22 15:07:00,Electrónica,Laptop,312.1,4,1248.4,Criptomoneda,"Ciudad 46, País 9",Tablet,Pago,18,No,4
7,7607,2024-03-01 04:29:00,Electrónica,Laptop,32.87,1,32.87,PayPal,"Ciudad 48, País 9",PC,Referido,2,No,1
8,1649,2024-02-13 10:54:00,Hogar,Mesa,329.86,5,1649.3,Criptomoneda,"Ciudad 31, País 4",Tablet,Pago,11,No,1
9,9124,2024-02-20 07:30:00,Hogar,Cafetera,357.02,5,1785.1,Tarjeta de crédito,"Ciudad 33, País 10",Tablet,Orgánico,19,Sí,4
10,5914,2024-02-14 04:23:00,Belleza,Crema,213.46,4,853.84,Criptomoneda,"Ciudad 20, País 5",Móvil,Pago,12,No,1
11,3562,2024-02-19 23:58:00,Ropa,Zapatos,269.98,2,539.96,Tarjeta de crédito,"Ciudad 26, País 10",Móvil,Redes Sociales,18,No,2
12,8907,2024-01-18 12:56:00,Hogar,Mesa,163.68,2,327.36,Tarjeta de crédito,"Ciudad 8, País 2",Móvil,Redes Sociales,24,No,4
13,1767,2024-01-28 06:57:00,Electrónica,Monitor,8.65,3,25.95,PayPal,"Ciudad 40, País 1",Móvil,Pago,27,No,1
14,8081,2024-01-08 19:52:00,Deportes,Raqueta,368.13,2,736.26,Transferencia bancaria,"Ciudad 23, País 9",PC,Redes Sociales,7,No,5
15,1555,2024-02-24 01:47:00,Deportes,Bicicleta,439.18,4,1756.72,Tarjeta de crédito,"Ciudad 15, País 8",Móvil,Pago,6,Sí,5
16,2997,2024-02-01 00:34:00,Deportes,Casco,104.52,4,418.08,PayPal,"Ciudad 17, País 8",Móvil,Pago,4,No,4
